INFO:root:Start: 2_parse_target_tweets.py 
INFO:root:Processing mode of research: interdisciplinary
INFO:root:Processing file files\target_tweets\interdisciplinary\interdisciplinary-20201018222755.txt 1/2
INFO:root:Processing file files\target_tweets\interdisciplinary\interdisciplinary-20201018222823.txt 2/2
INFO:root:Tweet ID 1318014829248933894 already processed, skipping...
INFO:root:Tweet ID 1318013968061849601 already processed, skipping...
INFO:root:Tweet ID 1318013938529783808 already processed, skipping...
INFO:root:Tweet ID 1318013071059681281 already processed, skipping...
INFO:root:Tweet ID 1318012820022300672 already processed, skipping...
INFO:root:Tweet ID 1318012623661748229 already processed, skipping...
INFO:root:Tweet ID 1318012280672460803 already processed, skipping...
INFO:root:Tweet ID 1318011883706875906 already processed, skipping...
INFO:root:Tweet ID 1318011461201899520 already processed, skipping...
INFO:root:Tweet ID 1318010970514595843 already processed, skipping...
INFO:root:Tweet ID 1318010337787056134 already processed, skipping...
INFO:root:Tweet ID 1318008312642834434 already processed, skipping...
INFO:root:Tweet ID 1318005565986021378 already processed, skipping...
INFO:root:Tweet ID 1318004118733152256 already processed, skipping...
INFO:root:Tweet ID 1318002766493720576 already processed, skipping...
INFO:root:Tweet ID 1318002057660583938 already processed, skipping...
INFO:root:Tweet ID 1317997086680383488 already processed, skipping...
INFO:root:Tweet ID 1317996534697426945 already processed, skipping...
INFO:root:Tweet ID 1317996520914907136 already processed, skipping...
INFO:root:Tweet ID 1317996242987708418 already processed, skipping...
INFO:root:Tweet ID 1317995604493172757 already processed, skipping...
INFO:root:Tweet ID 1317995252901384192 already processed, skipping...
INFO:root:Tweet ID 1317994680043360257 already processed, skipping...
INFO:root:Tweet ID 1317993723603582976 already processed, skipping...
INFO:root:Tweet ID 1317991764037410816 already processed, skipping...
INFO:root:Tweet ID 1317991436252426240 already processed, skipping...
INFO:root:Tweet ID 1317991246154076163 already processed, skipping...
INFO:root:Tweet ID 1317991125601353729 already processed, skipping...
INFO:root:Tweet ID 1317988120592306176 already processed, skipping...
INFO:root:Tweet ID 1317986289866526720 already processed, skipping...
INFO:root:Tweet ID 1317985006707499008 already processed, skipping...
INFO:root:Tweet ID 1317984710841167872 already processed, skipping...
INFO:root:Tweet ID 1317982471749853184 already processed, skipping...
INFO:root:Tweet ID 1317981178217918464 already processed, skipping...
INFO:root:Tweet ID 1317980839297208320 already processed, skipping...
INFO:root:Tweet ID 1317979506523598849 already processed, skipping...
INFO:root:Tweet ID 1317979268757016581 already processed, skipping...
INFO:root:Tweet ID 1317976839533465601 already processed, skipping...
INFO:root:Tweet ID 1317976539875708933 already processed, skipping...
INFO:root:Tweet ID 1317975580680355843 already processed, skipping...
INFO:root:Tweet ID 1317975269030985728 already processed, skipping...
INFO:root:Tweet ID 1317974813445672961 already processed, skipping...
INFO:root:Tweet ID 1317974479285473286 already processed, skipping...
INFO:root:Tweet ID 1317974060081479680 already processed, skipping...
INFO:root:Tweet ID 1317973898504380418 already processed, skipping...
INFO:root:Tweet ID 1317970730701578240 already processed, skipping...
INFO:root:Tweet ID 1317970622467637248 already processed, skipping...
INFO:root:Tweet ID 1317969802154053633 already processed, skipping...
INFO:root:Tweet ID 1317969254319312896 already processed, skipping...
INFO:root:Tweet ID 1317968811576881152 already processed, skipping...
INFO:root:Tweet ID 1317968713937768459 already processed, skipping...
INFO:root:Tweet ID 1317968194674438145 already processed, skipping...
INFO:root:Tweet ID 1317968004227936257 already processed, skipping...
INFO:root:Tweet ID 1317967441348108290 already processed, skipping...
INFO:root:Tweet ID 1317965503449747456 already processed, skipping...
INFO:root:Tweet ID 1317964249440739328 already processed, skipping...
INFO:root:Tweet ID 1317963577198665730 already processed, skipping...
INFO:root:Tweet ID 1317958587558227968 already processed, skipping...
INFO:root:Tweet ID 1317956997212418048 already processed, skipping...
INFO:root:Tweet ID 1317956385951391750 already processed, skipping...
INFO:root:Tweet ID 1317956231483564032 already processed, skipping...
INFO:root:Tweet ID 1317953273622450176 already processed, skipping...
INFO:root:Tweet ID 1317951199337906177 already processed, skipping...
INFO:root:Tweet ID 1317949708891979785 already processed, skipping...
INFO:root:Tweet ID 1317948586425012227 already processed, skipping...
INFO:root:Tweet ID 1317948585032417280 already processed, skipping...
INFO:root:Tweet ID 1317948559161917440 already processed, skipping...
INFO:root:Tweet ID 1317948463364165632 already processed, skipping...
INFO:root:Tweet ID 1317945817408237568 already processed, skipping...
INFO:root:Tweet ID 1317944866790395904 already processed, skipping...
INFO:root:Tweet ID 1317943322682548225 already processed, skipping...
INFO:root:Tweet ID 1317942827012194310 already processed, skipping...
INFO:root:Tweet ID 1317942358399356928 already processed, skipping...
INFO:root:Tweet ID 1317941047046164480 already processed, skipping...
INFO:root:Tweet ID 1317940707101974528 already processed, skipping...
INFO:root:Tweet ID 1317940404575113216 already processed, skipping...
INFO:root:Tweet ID 1317939143884836864 already processed, skipping...
INFO:root:Tweet ID 1317938868520439809 already processed, skipping...
INFO:root:Tweet ID 1317938396111753216 already processed, skipping...
INFO:root:Tweet ID 1317935864031358976 already processed, skipping...
INFO:root:Tweet ID 1317935831282151424 already processed, skipping...
INFO:root:Tweet ID 1317935664898387974 already processed, skipping...
INFO:root:Tweet ID 1317935272898822145 already processed, skipping...
INFO:root:Tweet ID 1317934985601376257 already processed, skipping...
INFO:root:Tweet ID 1317934065144782853 already processed, skipping...
INFO:root:Tweet ID 1317932773332705280 already processed, skipping...
INFO:root:Tweet ID 1317932060359553024 already processed, skipping...
INFO:root:Tweet ID 1317930384877785088 already processed, skipping...
INFO:root:Tweet ID 1317930310441619461 already processed, skipping...
INFO:root:Tweet ID 1317929036232916995 already processed, skipping...
INFO:root:Tweet ID 1317927848984838150 already processed, skipping...
INFO:root:Tweet ID 1317927431743836161 already processed, skipping...
INFO:root:Tweet ID 1317926695228366848 already processed, skipping...
INFO:root:Tweet ID 1317925676301742080 already processed, skipping...
INFO:root:Tweet ID 1317925435972399107 already processed, skipping...
INFO:root:Tweet ID 1317924236862709760 already processed, skipping...
INFO:root:Tweet ID 1317923455048863744 already processed, skipping...
INFO:root:Tweet ID 1317923433167130628 already processed, skipping...
INFO:root:Tweet ID 1317922353355976705 already processed, skipping...
INFO:root:Tweet ID 1317921590122893314 already processed, skipping...
INFO:root:Tweet ID 1317921313546227712 already processed, skipping...
INFO:root:Tweet ID 1317920199505563648 already processed, skipping...
INFO:root:Tweet ID 1317919302423474176 already processed, skipping...
INFO:root:Tweet ID 1317919288158789632 already processed, skipping...
