INFO:root:Start: 2_parse_target_tweets.py 
INFO:root:Processing mode of research: UNCW
INFO:root:Processing file files\target_tweets_UNCW\UNCW\UNCW-20201105130502.txt 1/1
INFO:root:Tweet ID 1323294221005107200 already processed, skipping...
INFO:root:Tweet ID 1323293172059971586 already processed, skipping...
INFO:root:Tweet ID 1323290475344744448 already processed, skipping...
INFO:root:Tweet ID 1323281288053334017 already processed, skipping...
INFO:root:Tweet ID 1323280381370662912 already processed, skipping...
INFO:root:Tweet ID 1323278693050077185 already processed, skipping...
INFO:root:Tweet ID 1323274120419667970 already processed, skipping...
INFO:root:Tweet ID 1323273304480735238 already processed, skipping...
INFO:root:Tweet ID 1323270154910797824 already processed, skipping...
INFO:root:Tweet ID 1323269757949284352 already processed, skipping...
INFO:root:Tweet ID 1323269698419519488 already processed, skipping...
INFO:root:Tweet ID 1323265546352267269 already processed, skipping...
INFO:root:Tweet ID 1323254640830488576 already processed, skipping...
INFO:root:Tweet ID 1323252317202821121 already processed, skipping...
INFO:root:Tweet ID 1323248493369073667 already processed, skipping...
INFO:root:Tweet ID 1323245790685515776 already processed, skipping...
INFO:root:Tweet ID 1323243864254275585 already processed, skipping...
INFO:root:Tweet ID 1323240029578252288 already processed, skipping...
INFO:root:Tweet ID 1323226689506336775 already processed, skipping...
INFO:root:Tweet ID 1323142370179850240 already processed, skipping...
INFO:root:Tweet ID 1323141649460039683 already processed, skipping...
INFO:root:Tweet ID 1323134619936559104 already processed, skipping...
INFO:root:Tweet ID 1323128869734522881 already processed, skipping...
INFO:root:Tweet ID 1323112927600193537 already processed, skipping...
INFO:root:Tweet ID 1323109150486790144 already processed, skipping...
INFO:root:Tweet ID 1323098457708572672 already processed, skipping...
INFO:root:Tweet ID 1323095056891453441 already processed, skipping...
INFO:root:Tweet ID 1323090134615662592 already processed, skipping...
INFO:root:Tweet ID 1323086328200892418 already processed, skipping...
INFO:root:Tweet ID 1323084419503071233 already processed, skipping...
INFO:root:Tweet ID 1323079513643896832 already processed, skipping...
INFO:root:Tweet ID 1323078007456780288 already processed, skipping...
INFO:root:Tweet ID 1323072976644878337 already processed, skipping...
INFO:root:Tweet ID 1323066412701810688 already processed, skipping...
INFO:root:Tweet ID 1323064760703897600 already processed, skipping...
INFO:root:Tweet ID 1323061954760577029 already processed, skipping...
INFO:root:Tweet ID 1323061074887876609 already processed, skipping...
INFO:root:Tweet ID 1323047806559490049 already processed, skipping...
INFO:root:Tweet ID 1323046148639281155 already processed, skipping...
INFO:root:Tweet ID 1323045278207848448 already processed, skipping...
INFO:root:Tweet ID 1323044676086222848 already processed, skipping...
INFO:root:Tweet ID 1323043747207282693 already processed, skipping...
INFO:root:Tweet ID 1323039740749357056 already processed, skipping...
INFO:root:Tweet ID 1323037901282807824 already processed, skipping...
INFO:root:Tweet ID 1323030250855505920 already processed, skipping...
INFO:root:Tweet ID 1323027625351237632 already processed, skipping...
INFO:root:Tweet ID 1323026154308161537 already processed, skipping...
INFO:root:Tweet ID 1323024078043861001 already processed, skipping...
INFO:root:Tweet ID 1323017986299539458 already processed, skipping...
INFO:root:Tweet ID 1323010237260046336 already processed, skipping...
INFO:root:Tweet ID 1322997691958382592 already processed, skipping...
INFO:root:Tweet ID 1322997172158238731 already processed, skipping...
INFO:root:Tweet ID 1322997132954079232 already processed, skipping...
INFO:root:Tweet ID 1322976594613444623 already processed, skipping...
INFO:root:Tweet ID 1322974974139756546 already processed, skipping...
INFO:root:Tweet ID 1322974691447971840 already processed, skipping...
INFO:root:Tweet ID 1322974124852105218 already processed, skipping...
INFO:root:Tweet ID 1322973789055930368 already processed, skipping...
INFO:root:Tweet ID 1322963989593235458 already processed, skipping...
INFO:root:Tweet ID 1322963323802050560 already processed, skipping...
INFO:root:Tweet ID 1322961505051172866 already processed, skipping...
INFO:root:Tweet ID 1322947473388830721 already processed, skipping...
INFO:root:Tweet ID 1322921788876140546 already processed, skipping...
INFO:root:Tweet ID 1322921373497511938 already processed, skipping...
INFO:root:Tweet ID 1322915538583068672 already processed, skipping...
INFO:root:Tweet ID 1322913481046327296 already processed, skipping...
INFO:root:Tweet ID 1322911992923959298 already processed, skipping...
INFO:root:Tweet ID 1322892378823401472 already processed, skipping...
INFO:root:Tweet ID 1322883500689793026 already processed, skipping...
INFO:root:Tweet ID 1322881935107117056 already processed, skipping...
INFO:root:Tweet ID 1322871348180455429 already processed, skipping...
INFO:root:Tweet ID 1322863997864071168 already processed, skipping...
INFO:root:Tweet ID 1322828561800138754 already processed, skipping...
INFO:root:Tweet ID 1322753572229009408 already processed, skipping...
INFO:root:Tweet ID 1322738459665195009 already processed, skipping...
INFO:root:Tweet ID 1322705476119875584 already processed, skipping...
INFO:root:Tweet ID 1322705111622311936 already processed, skipping...
INFO:root:Tweet ID 1322704503188185090 already processed, skipping...
INFO:root:Tweet ID 1322704262204428288 already processed, skipping...
INFO:root:Tweet ID 1322704128854970368 already processed, skipping...
INFO:root:Tweet ID 1322671840263917569 already processed, skipping...
INFO:root:Tweet ID 1322661754472714248 already processed, skipping...
INFO:root:Tweet ID 1322652443319193601 already processed, skipping...
INFO:root:Tweet ID 1322638655194832897 already processed, skipping...
INFO:root:Tweet ID 1322617361892102144 already processed, skipping...
INFO:root:Tweet ID 1322616908030554113 already processed, skipping...
INFO:root:Tweet ID 1322613955865567232 already processed, skipping...
INFO:root:Tweet ID 1322599315769073668 already processed, skipping...
INFO:root:Tweet ID 1322584116307484672 already processed, skipping...
INFO:root:Tweet ID 1322582398488485888 already processed, skipping...
INFO:root:Tweet ID 1322574461443448833 already processed, skipping...
INFO:root:Tweet ID 1322573519591407619 already processed, skipping...
INFO:root:Tweet ID 1322552811608018945 already processed, skipping...
INFO:root:Tweet ID 1322539179394424832 already processed, skipping...
INFO:root:Tweet ID 1322524174112428034 already processed, skipping...
INFO:root:Tweet ID 1322514745224822785 already processed, skipping...
INFO:root:Tweet ID 1322505852260126722 already processed, skipping...
INFO:root:Tweet ID 1322504966838358016 already processed, skipping...
INFO:root:Tweet ID 1322501378166738944 already processed, skipping...
INFO:root:Tweet ID 1322495588311703553 already processed, skipping...
INFO:root:Tweet ID 1322434839799365632 already processed, skipping...
INFO:root:Tweet ID 1322416480017768448 already processed, skipping...
INFO:root:Tweet ID 1322409341669036032 already processed, skipping...
INFO:root:Tweet ID 1322380774365143045 already processed, skipping...
INFO:root:Tweet ID 1322376489128648705 already processed, skipping...
INFO:root:Tweet ID 1322372370443784192 already processed, skipping...
INFO:root:Tweet ID 1322370573826220033 already processed, skipping...
INFO:root:Tweet ID 1322370229213671424 already processed, skipping...
INFO:root:Tweet ID 1322350567449088000 already processed, skipping...
INFO:root:Tweet ID 1322346968547557376 already processed, skipping...
INFO:root:Tweet ID 1322337272000352256 already processed, skipping...
INFO:root:Tweet ID 1322330102856851458 already processed, skipping...
INFO:root:Tweet ID 1322305672935960576 already processed, skipping...
INFO:root:Tweet ID 1322299799622897665 already processed, skipping...
INFO:root:Tweet ID 1322299267843764234 already processed, skipping...
INFO:root:Tweet ID 1322297361528508418 already processed, skipping...
INFO:root:Tweet ID 1322295380739084299 already processed, skipping...
INFO:root:Tweet ID 1322288411504500737 already processed, skipping...
INFO:root:Tweet ID 1322286548579221504 already processed, skipping...
INFO:root:Tweet ID 1322283384362729472 already processed, skipping...
INFO:root:Tweet ID 1322282146069884930 already processed, skipping...
INFO:root:Tweet ID 1322282103875215360 already processed, skipping...
INFO:root:Tweet ID 1322281991308533760 already processed, skipping...
INFO:root:Tweet ID 1322275313993342978 already processed, skipping...
INFO:root:Tweet ID 1322274238963896321 already processed, skipping...
INFO:root:Tweet ID 1322272395365912576 already processed, skipping...
INFO:root:Tweet ID 1322272128339714050 already processed, skipping...
INFO:root:Tweet ID 1322272126532046849 already processed, skipping...
INFO:root:Tweet ID 1322268786888757248 already processed, skipping...
INFO:root:Tweet ID 1322267026702807040 already processed, skipping...
INFO:root:Tweet ID 1322266510740627456 already processed, skipping...
INFO:root:Tweet ID 1322261866400329729 already processed, skipping...
INFO:root:Tweet ID 1322259801213194241 already processed, skipping...
INFO:root:Tweet ID 1322252515874758656 already processed, skipping...
INFO:root:Tweet ID 1322251470205554689 already processed, skipping...
INFO:root:Tweet ID 1322250971255312385 already processed, skipping...
INFO:root:Tweet ID 1322250607953088512 already processed, skipping...
INFO:root:Tweet ID 1322244580687925248 already processed, skipping...
INFO:root:Tweet ID 1322244004071804929 already processed, skipping...
INFO:root:Tweet ID 1322239984611532800 already processed, skipping...
INFO:root:Tweet ID 1322236647245795329 already processed, skipping...
INFO:root:Tweet ID 1322235689912668160 already processed, skipping...
INFO:root:Tweet ID 1322235470290604033 already processed, skipping...
INFO:root:Tweet ID 1322231641838915586 already processed, skipping...
INFO:root:Tweet ID 1322231226649006080 already processed, skipping...
INFO:root:Tweet ID 1322227046446190593 already processed, skipping...
INFO:root:Tweet ID 1322215428232531975 already processed, skipping...
INFO:root:Tweet ID 1322215184702820352 already processed, skipping...
INFO:root:Tweet ID 1322213105275936768 already processed, skipping...
INFO:root:Tweet ID 1322212811666296832 already processed, skipping...
INFO:root:Tweet ID 1322199547049775106 already processed, skipping...
INFO:root:Tweet ID 1322198402201980928 already processed, skipping...
INFO:root:Tweet ID 1322196074174599171 already processed, skipping...
INFO:root:Tweet ID 1322194255817920514 already processed, skipping...
INFO:root:Tweet ID 1322193801558020101 already processed, skipping...
INFO:root:Tweet ID 1322193355124690944 already processed, skipping...
INFO:root:Tweet ID 1322193329367470085 already processed, skipping...
INFO:root:Tweet ID 1322192822414561282 already processed, skipping...
INFO:root:Tweet ID 1322191631697743873 already processed, skipping...
INFO:root:Tweet ID 1322189069368045568 already processed, skipping...
INFO:root:Tweet ID 1322186592686084096 already processed, skipping...
INFO:root:Tweet ID 1322185334088716288 already processed, skipping...
INFO:root:Tweet ID 1322181302607642625 already processed, skipping...
INFO:root:Tweet ID 1322173549570908160 already processed, skipping...
INFO:root:Tweet ID 1322173061303599104 already processed, skipping...
INFO:root:Tweet ID 1322170934783021058 already processed, skipping...
INFO:root:Tweet ID 1322169960739856386 already processed, skipping...
INFO:root:Tweet ID 1322167600332328965 already processed, skipping...
INFO:root:Tweet ID 1322165519089233920 already processed, skipping...
INFO:root:Tweet ID 1322152608627347461 already processed, skipping...
INFO:root:Tweet ID 1322152012528734208 already processed, skipping...
INFO:root:Tweet ID 1322147957647372288 already processed, skipping...
INFO:root:Tweet ID 1322143696599613441 already processed, skipping...
INFO:root:Tweet ID 1322143036458094592 already processed, skipping...
INFO:root:Tweet ID 1322140992582144000 already processed, skipping...
INFO:root:Tweet ID 1322139027714248705 already processed, skipping...
INFO:root:Tweet ID 1322116602091966464 already processed, skipping...
INFO:root:Tweet ID 1322116275892637698 already processed, skipping...
INFO:root:Tweet ID 1322094893309722630 already processed, skipping...
INFO:root:Tweet ID 1322085219122483202 already processed, skipping...
INFO:root:Tweet ID 1322076462506102784 already processed, skipping...
INFO:root:Tweet ID 1322069376162504704 already processed, skipping...
INFO:root:Tweet ID 1322068233814495232 already processed, skipping...
INFO:root:Tweet ID 1322068064842600454 already processed, skipping...
INFO:root:Tweet ID 1322067353341931525 already processed, skipping...
INFO:root:Tweet ID 1322067342629765120 already processed, skipping...
INFO:root:Tweet ID 1322066697537376256 already processed, skipping...
INFO:root:Tweet ID 1322059306427187200 already processed, skipping...
INFO:root:Tweet ID 1322059296985751552 already processed, skipping...
INFO:root:Tweet ID 1322049251082268672 already processed, skipping...
INFO:root:Tweet ID 1322047405752201216 already processed, skipping...
INFO:root:Tweet ID 1322037572479176704 already processed, skipping...
INFO:root:Tweet ID 1322032908203364353 already processed, skipping...
INFO:root:Tweet ID 1322032073717272576 already processed, skipping...
INFO:root:Tweet ID 1322030343524737024 already processed, skipping...
INFO:root:Tweet ID 1322029744775327745 already processed, skipping...
INFO:root:Tweet ID 1322029513614655489 already processed, skipping...
INFO:root:Tweet ID 1322029414159278080 already processed, skipping...
INFO:root:Tweet ID 1322028537562484736 already processed, skipping...
INFO:root:Tweet ID 1322027221859577856 already processed, skipping...
INFO:root:Tweet ID 1322023383878541314 already processed, skipping...
INFO:root:Tweet ID 1322020541579100160 already processed, skipping...
INFO:root:Tweet ID 1322019954393272320 already processed, skipping...
INFO:root:Tweet ID 1322010283519447040 already processed, skipping...
INFO:root:Tweet ID 1322009181197578240 already processed, skipping...
INFO:root:Tweet ID 1322001742989561864 already processed, skipping...
INFO:root:Tweet ID 1321979257099354113 already processed, skipping...
INFO:root:Tweet ID 1321979240477302784 already processed, skipping...
INFO:root:Tweet ID 1321977922496925704 already processed, skipping...
INFO:root:Tweet ID 1321973795234742272 already processed, skipping...
INFO:root:Tweet ID 1321968593018347520 already processed, skipping...
INFO:root:Tweet ID 1321968414638940161 already processed, skipping...
INFO:root:Tweet ID 1321966700166860800 already processed, skipping...
INFO:root:Tweet ID 1321949674404827136 already processed, skipping...
INFO:root:Tweet ID 1321948420412755968 already processed, skipping...
INFO:root:Tweet ID 1321948194994032640 already processed, skipping...
INFO:root:Tweet ID 1321941322345959425 already processed, skipping...
INFO:root:Tweet ID 1321937544754434048 already processed, skipping...
INFO:root:Tweet ID 1321924357518725121 already processed, skipping...
INFO:root:Tweet ID 1321919754672631808 already processed, skipping...
INFO:root:Tweet ID 1321915083165999105 already processed, skipping...
INFO:root:Tweet ID 1321909571233800197 already processed, skipping...
INFO:root:Tweet ID 1321907095654998017 already processed, skipping...
INFO:root:Tweet ID 1321907020736417801 already processed, skipping...
INFO:root:Tweet ID 1321906119405498368 already processed, skipping...
INFO:root:Tweet ID 1321903990809022464 already processed, skipping...
INFO:root:Tweet ID 1321891191869222912 already processed, skipping...
INFO:root:Tweet ID 1321890742676164609 already processed, skipping...
INFO:root:Tweet ID 1321890636862312450 already processed, skipping...
INFO:root:Tweet ID 1321890438618488838 already processed, skipping...
INFO:root:Tweet ID 1321889544120213504 already processed, skipping...
INFO:root:Tweet ID 1321887051298516993 already processed, skipping...
INFO:root:Tweet ID 1321886713346629637 already processed, skipping...
INFO:root:Tweet ID 1321885898225684486 already processed, skipping...
INFO:root:Tweet ID 1321879846935560192 already processed, skipping...
INFO:root:Tweet ID 1321875715650801665 already processed, skipping...
INFO:root:Tweet ID 1321875570498654208 already processed, skipping...
INFO:root:Tweet ID 1321870019689619457 already processed, skipping...
INFO:root:Tweet ID 1321869910037860352 already processed, skipping...
INFO:root:Tweet ID 1321869896838307840 already processed, skipping...
INFO:root:Tweet ID 1321869192149131264 already processed, skipping...
INFO:root:Tweet ID 1321867314510352384 already processed, skipping...
INFO:root:Tweet ID 1321866872774709248 already processed, skipping...
INFO:root:Tweet ID 1321866851840905217 already processed, skipping...
INFO:root:Tweet ID 1321865767307104259 already processed, skipping...
INFO:root:Tweet ID 1321863746520842241 already processed, skipping...
INFO:root:Tweet ID 1321858320450375682 already processed, skipping...
INFO:root:Tweet ID 1321858106997944320 already processed, skipping...
INFO:root:Tweet ID 1321857222612320256 already processed, skipping...
INFO:root:Tweet ID 1321852696559833088 already processed, skipping...
INFO:root:Tweet ID 1321852167125258240 already processed, skipping...
INFO:root:Tweet ID 1321850929096859649 already processed, skipping...
INFO:root:Tweet ID 1321850095881621509 already processed, skipping...
INFO:root:Tweet ID 1321849802322178048 already processed, skipping...
INFO:root:Tweet ID 1321849693618384896 already processed, skipping...
INFO:root:Tweet ID 1321848869223833604 already processed, skipping...
INFO:root:Tweet ID 1321848470962135041 already processed, skipping...
INFO:root:Tweet ID 1321847640355708930 already processed, skipping...
INFO:root:Tweet ID 1321847628515213313 already processed, skipping...
INFO:root:Tweet ID 1321846542416838657 already processed, skipping...
INFO:root:Tweet ID 1321845987095289856 already processed, skipping...
INFO:root:Tweet ID 1321845967839203333 already processed, skipping...
INFO:root:Tweet ID 1321844250963709954 already processed, skipping...
INFO:root:Tweet ID 1321844019484393474 already processed, skipping...
INFO:root:Tweet ID 1321843603648483328 already processed, skipping...
INFO:root:Tweet ID 1321834940263223297 already processed, skipping...
INFO:root:Tweet ID 1321834000529412096 already processed, skipping...
INFO:root:Tweet ID 1321829281262194692 already processed, skipping...
INFO:root:Tweet ID 1321828993734070272 already processed, skipping...
INFO:root:Tweet ID 1321826201384685569 already processed, skipping...
INFO:root:Tweet ID 1321820753046708231 already processed, skipping...
INFO:root:Tweet ID 1321814052000030721 already processed, skipping...
INFO:root:Tweet ID 1321806485815517184 already processed, skipping...
INFO:root:Tweet ID 1321796682154168320 already processed, skipping...
INFO:root:Tweet ID 1321790324017106945 already processed, skipping...
INFO:root:Tweet ID 1321789804779053063 already processed, skipping...
INFO:root:Tweet ID 1321787033384374272 already processed, skipping...
INFO:root:Tweet ID 1321781425889288195 already processed, skipping...
INFO:root:Tweet ID 1321780751306760193 already processed, skipping...
INFO:root:Tweet ID 1321777272374894592 already processed, skipping...
INFO:root:Tweet ID 1321776193025265664 already processed, skipping...
INFO:root:Tweet ID 1321681764402765825 already processed, skipping...
INFO:root:Tweet ID 1321667534874181634 already processed, skipping...
INFO:root:Tweet ID 1321640483123306496 already processed, skipping...
INFO:root:Tweet ID 1321634105918849025 already processed, skipping...
INFO:root:Tweet ID 1321615715049349121 already processed, skipping...
INFO:root:Tweet ID 1321607530045472773 already processed, skipping...
INFO:root:Tweet ID 1321606515074228224 already processed, skipping...
INFO:root:Tweet ID 1321602483395899394 already processed, skipping...
INFO:root:Tweet ID 1321594854300884992 already processed, skipping...
INFO:root:Tweet ID 1321587554060136448 already processed, skipping...
INFO:root:Tweet ID 1321575544434077696 already processed, skipping...
INFO:root:Tweet ID 1321568298442592259 already processed, skipping...
INFO:root:Tweet ID 1321565231982682112 already processed, skipping...
INFO:root:Tweet ID 1321558798322970624 already processed, skipping...
INFO:root:Tweet ID 1321542913348800514 already processed, skipping...
INFO:root:Tweet ID 1321517019339120645 already processed, skipping...
INFO:root:Tweet ID 1321516852527407104 already processed, skipping...
INFO:root:Tweet ID 1321513824067878912 already processed, skipping...
INFO:root:Tweet ID 1321511969489178624 already processed, skipping...
INFO:root:Tweet ID 1321511592383684612 already processed, skipping...
INFO:root:Tweet ID 1321505186649645056 already processed, skipping...
INFO:root:Tweet ID 1321503449264066560 already processed, skipping...
INFO:root:Tweet ID 1321491364014673927 already processed, skipping...
INFO:root:Tweet ID 1321491131637661697 already processed, skipping...
INFO:root:Tweet ID 1321490335525208064 already processed, skipping...
INFO:root:Tweet ID 1321489955827281921 already processed, skipping...
INFO:root:Tweet ID 1321487169161146369 already processed, skipping...
INFO:root:Tweet ID 1321481853933670402 already processed, skipping...
INFO:root:Tweet ID 1321480967773581314 already processed, skipping...
INFO:root:Tweet ID 1321470540922658824 already processed, skipping...
INFO:root:Tweet ID 1321470112306765825 already processed, skipping...
INFO:root:Tweet ID 1321469686194778114 already processed, skipping...
INFO:root:Tweet ID 1321467713751900160 already processed, skipping...
INFO:root:Tweet ID 1321462558348500994 already processed, skipping...
INFO:root:Tweet ID 1321451787338043393 already processed, skipping...
INFO:root:Tweet ID 1321447570829385731 already processed, skipping...
INFO:root:Tweet ID 1321444195391909889 already processed, skipping...
INFO:root:Tweet ID 1321444180606898183 already processed, skipping...
INFO:root:Tweet ID 1321441456926552064 already processed, skipping...
INFO:root:Tweet ID 1321434629673541635 already processed, skipping...
INFO:root:Tweet ID 1321434435737264130 already processed, skipping...
INFO:root:Tweet ID 1321434304048701441 already processed, skipping...
INFO:root:Tweet ID 1321431282652311552 already processed, skipping...
INFO:root:Tweet ID 1321427436354101255 already processed, skipping...
INFO:root:Tweet ID 1321426160039927809 already processed, skipping...
INFO:root:Tweet ID 1321418936345333761 already processed, skipping...
INFO:root:Tweet ID 1321418785413304322 already processed, skipping...
INFO:root:Tweet ID 1321413732728250368 already processed, skipping...
INFO:root:Tweet ID 1321412246363426816 already processed, skipping...
INFO:root:Tweet ID 1321334861584568320 already processed, skipping...
INFO:root:Tweet ID 1321325604805976069 already processed, skipping...
INFO:root:Tweet ID 1321319495072419840 already processed, skipping...
INFO:root:Tweet ID 1321302826686025732 already processed, skipping...
INFO:root:Tweet ID 1321288295666634754 already processed, skipping...
INFO:root:Tweet ID 1321282635747000321 already processed, skipping...
INFO:root:Tweet ID 1321281687762907146 already processed, skipping...
INFO:root:Tweet ID 1321279115073327105 already processed, skipping...
INFO:root:Tweet ID 1321270252307709952 already processed, skipping...
INFO:root:Tweet ID 1321269555264630790 already processed, skipping...
INFO:root:Tweet ID 1321268169252741120 already processed, skipping...
INFO:root:Tweet ID 1321266987499196416 already processed, skipping...
INFO:root:Tweet ID 1321266900853264385 already processed, skipping...
INFO:root:Tweet ID 1321261890220314626 already processed, skipping...
INFO:root:Tweet ID 1321252368135131138 already processed, skipping...
INFO:root:Tweet ID 1321249986755977216 already processed, skipping...
INFO:root:Tweet ID 1321249047429238788 already processed, skipping...
INFO:root:Tweet ID 1321232337879912451 already processed, skipping...
INFO:root:Tweet ID 1321230115863515138 already processed, skipping...
INFO:root:Tweet ID 1321229866897940480 already processed, skipping...
INFO:root:Tweet ID 1321220356389150722 already processed, skipping...
INFO:root:Tweet ID 1321216364904927232 already processed, skipping...
INFO:root:Tweet ID 1321215426098089987 already processed, skipping...
INFO:root:Tweet ID 1321213270620033024 already processed, skipping...
INFO:root:Tweet ID 1321212626169483266 already processed, skipping...
INFO:root:Tweet ID 1321207275877519366 already processed, skipping...
INFO:root:Tweet ID 1321204574783418368 already processed, skipping...
INFO:root:Tweet ID 1321199816869875722 already processed, skipping...
INFO:root:Tweet ID 1321199009319497730 already processed, skipping...
INFO:root:Tweet ID 1321191993205248005 already processed, skipping...
INFO:root:Tweet ID 1321191895985463296 already processed, skipping...
INFO:root:Tweet ID 1321186323659661312 already processed, skipping...
INFO:root:Tweet ID 1321179988658393088 already processed, skipping...
INFO:root:Tweet ID 1321173555632111616 already processed, skipping...
INFO:root:Tweet ID 1321169833749348352 already processed, skipping...
INFO:root:Tweet ID 1321168874507743232 already processed, skipping...
INFO:root:Tweet ID 1321168466196467716 already processed, skipping...
